Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City,TRUE,FALSE
249,"Designation of SPA 27 (Backdoor Bay), SPA 28 (Hut Point) and 29 (Cape Adare)",Did not enter into effect. Withdrawn:M 9 (2010),Area protection and management,Area protection and management,"Measure 1 (1998) - ATCM XXII - CEP I, Tromsø","ANTARCTIC PROTECTED AREAS SYSTEM: MANAGEMENT PLANS FOR SPECIALLY PROTECTED AREASNUMBER 27: CAPE ROYDS HISTORIC SITE AND ITS ENVIRONS (Appendix A)NUMBER 28: HUT POINT HISTORIC SITE (Appendix B)NUMBER 29: CAPE ADARE HISTORIC SITE AND ITS ENVIRONS (Appendix C)The Representatives,Recalling Recommendations XV-8 and XV-9;Noting that Management Plans for the above Areas have been endorsed by the Scientific Committee on Antarctic Research (SCAR);Noting also that the format of the Management Plans accord with Article 5 of Annex V of the Protocol on Environmental Protection to the Antarctic Treaty adopted under Recommendation XVI-10;Recognising that these Areas have outstanding historic significance which require long-term protection to ensure that their values are maintained, and to avoid undue human disturbance;Agreeing that pending entry into force of Annex V, proposals to designate and adopt management plans for the protection of particular historic values should be viewed as proposals for the designation of Specially Protected Areas (SPAs) in accordance with the Agreed Measures for the Conservation of Antarctic Flora and Fauna;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That the Management Plans for the Cape Royds Historic Site and its environs (SPA No 27), the Hut Point Historic Site (SPA No 28) and the Cape Adare Historic Site and its environs (SPA No 29) annexed to this Measure be adopted.",Measure 1,1998,ATCM XXII,CEP I,Tromsø,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Netherlands, New Zealand, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Italy, Japan, Korea (ROK), Norway, Ukraine"
243,Description of Historic Site No. 41 (Stone Hut on Paulet Island) modified,Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 5 (1997) - ATCM XXI, Christchurch","ANTARCTIC PROTECTED AREAS SYSTEM:HISTORIC SITES AND MONUMENTS:AMENDMENT NUMBER 41: STONE HUT ON PAULET ISLANDThe Representatives,Recalling the Measures adopted in Recommendations I-IX, V-4, VI-14, VII-9; and Resolution 8 (1995);Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That an amendment of the description of Historic Site Number 41, which is contained in the ""List of Historic Monuments and Described by the proposing Government or Governments"" annexed to Recommendation VII-9, be approved.Amendment to Listing:Site Number 41:  Stone Hut on Paulet Island.The following text should be added to the final part of the paragraph;""...and the rock cairn built by the survivors of the wreck at the highest point of the island to draw the attention of rescue expeditions.""",Measure 5,1997,ATCM XXI,,Christchurch,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Ecuador, Italy, Japan, Ukraine"
242,Historic Monument 73 (Lewis Bay Tomb),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 4 (1997) - ATCM XXI, Christchurch","ANTARCTIC PROTECTED AREAS SYSTEM:HISTORIC SITES AND MONUMENTS:MEMORIAL CROSS, LEWIS BAY, ROSS ISLANDThe Representatives,Recalling in particular Recommendation XI-3;And also Recommendations I-9, V-4, VI-14, VII-9, XIII-7, XIII-16, XIV-8;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article 9 of the Antarctic Treaty to add the following historic monument to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9, thereby guaranteeing its full protection and respect as envisaged by the Recommendation noted above.Memorial Cross for the 1979 Mount Erebus Crash Victims, Lewis Bay, Ross Island.A cross of stainless steel which was erected in January 1987 on a rocky promontory three kilometres from the Mount Erebus crash site in memory of the 257 people of different nationalities who lost their lives when the aircraft in which they were travelling crashed into the lower slopes of Mount Erebus, Ross Island.  The Cross was erected as a mark of respect and in remembrance of those who died in this tragedy.",Measure 4,1997,ATCM XXI,,Christchurch,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Ecuador, Italy, Ukraine"
241,"Designation of SSSI 37 (Botany Bay); revised management plans for SSSI 11 (Tramway Ridge), 12 (Canada Glacier), 13 (Potter Peninsula), 14 (Harmony Point) and 15 (Cierva Point)",Did not enter into effect. Withdrawn:M 6 (2011),Area protection and management,Area protection and management,"Measure 3 (1997) - ATCM XXI, Christchurch","ANTARCTIC PROTECTED AREAS SYSTEM: REVISED DESCRIPTIONS AND MANAGEMENT PLANS FOR SITES OF SPECIAL SCIENTIFIC INTEREST (SSSI)SSSI 11: Tramway RidgeSSSI 12: Canada Glacier, Taylor Valley, Victoria Land (Annex A)SSSI 13: Potter Peninsula, 25 de Mayo Island (King George Island), South Shetland Islands (Annex B)SSSI 14: Harmony Point, Nelson Island, South Shetland Islands (Annex C)SSSI 15: Cierva Point, Danco Coast, Antarctic Peninsula (Annex D)SSSI 37: Botany Bay, Cape Geology, Victoria LandThe Representatives,Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:1. For the following Sites of Special Scientific Interest, that the relevant Management Plans annexed to this Measure be inserted in the Annex to Recommendation XIII-8 to replace those plans previously annexed to this Recommendation:SSSI 12: Canada Glacier, Taylor Valley, Victoria Land (Annex A)SSSI 13: Potter Peninsula, 25 de Mayo Island (King George Island), South Shetland Islands (Annedx B)SSSI 14: Harmony Point, Nelson Island, South Shetland Islands (Annex C)SSSI 15: Cierva Point, Danco Coast, Antarctic Peninsula (Annex D)2. For SSSI No. 37 Botany Bay, Cape Geology, Victoria Land, that the Management Plan annexed to this Measure (Annex E) be approved and adopted.3. For SSSI No. 11 Tramway Ridge, that the term 'restricted zone' be changed to 'prohibited zone'.4. That the Consultative Parties ensure that their nationals comply with the mandatory provisions of the new and revised management plans.",Measure 3,1997,ATCM XXI,,Christchurch,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Ecuador, Finland, France, Germany, India, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Italy, Ukraine"
240,Designation of SPA 25 (Cape Evans) and SPA 26 (Lewis Bay Tomb),Did not enter into effect. Withdrawn:M 8 (2010),Area protection and management,Area protection and management,"Measure 2 (1997) - ATCM XXI, Christchurch","ANTARCTIC PROTECTED AREAS SYSTEM: MANAGEMENT PLANS FOR SPECIALLY PROTECTED AREASNUMBER 25: CAPE EVANS HISTORIC SITE AND ITS ENVIRONS (Annex A)NUMBER 26: LEWIS BAY TOMB (Annex B)The Representatives,Recalling Recommendations XV-8 and XV-9;Noting that Management Plans for the above Areas have been endorsed by the Scientific Committee on Antarctic Research (SCAR);Noting also that the format of the Management Plans accord with Article 5 of Annex V of the Protocol on Environmental Protection to the Antarctic Treaty adopted under Recommendation XVI-10;Recognising that both these Areas have outstanding historic and commemorative significance which require long-term protection to ensure that their values are maintained and to avoid undue human disturbance;Agreeing that pending entry into force of Annex V, proposals to designate and adopt management plans for the protection of historic or commemorative values should be viewed as proposals for the designation of Specially Protected Areas (SPAs) in accordance with the Agreed Measures for the Conservation of Antarctic Flora and Fauna;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That the Management Plans for the Cape Evans Historic Site and its environs (SPA No. 25) and the Lewis Bay Tomb (SPA No. 26) annexed to this Measure be adopted.",Measure 2,1997,ATCM XXI,,Christchurch,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Italy, Japan, Korea (ROK), Ukraine"
239,Revised management plan for SPA 5 (Beaufort Island),Did not enter into effect. Withdrawn:M 4 (2010),Area protection and management,Area protection and management,"Measure 1 (1997) - ATCM XXI, Christchurch","ANTARCTIC PROTECTED AREAS SYSTEM:REVISED DESCRIPTION AND MANAGEMENT PLAN FOR SPECIALLY PROTECTED AREASPA 5 BEAUFORT ISLAND (Annex A)The Representatives,Recalling Recommendations XV-8 and XV-9/VIII-3Noting that revised and new Area Descriptions and Proposed Management Plans have been endorsed by the Scientific Committee on Antarctic Research (SCAR);Noting also that the format of the revised and new Area Descriptions and proposed Management Plans accord with Article 5 of Annex V of the Protocol on Environmental Protection to the Antarctic Treaty adopted under Recommendation XVI-10;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:For Specially Protected Area No. 5 Beaufort Island (Annex A)1. That the Description inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora shall be deleted.2. That the Description and Management Plan of the Specially Protected Area at Annex A shall be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora.",Measure 1,1997,ATCM XXI,,Christchurch,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Italy, Japan, Korea (ROK), Ukraine"
233,Historic Monument 72 (Mikkelsen Cairn),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 2 (1996) - ATCM XX, Utrecht","ANTARCTIC PROTECTED AREA SYSTEM: NEW HISTORIC SITES AND MONUMENTSThe Representatives,Recalling Recommendations I-IX, V-4, Vl-14, Vll-9, XII-7, XIII-16 and XIV-8, Measures 4 and 5 (1995) and Resolution 8 (1995),Recommend to their governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty to add the following historic monuments to the ""List of Historic Monuments Identified and Described by the proposing Government or Governments"" annexed to recommendation Vll-9, thereby guaranteeing its full protection and respect as envisaged by the Recommendations noted above.Mikkelsen Cairn, Tryne Islands, Vestfold Hills.  A rock cairn and a wooden mast erected by the landing party led by Captain Klarius Mikkelsen of the Norwegian whaling ship Thorshavn and including Caroline Mikkelsen, Captain Mikkelsen's wife, the first woman to set foot on East Antarctica.  The cairn, at latitude 68°22'34""S longitude 78°24'33""E was discovered by Australian National Antarctic Research Expedition field parties in 1957 and again in 1995.",Measure 2,1996,ATCM XX,,Utrecht,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Italy, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Ecuador, Ukraine"
232,Revision of management plans for SSSI 9 (Rothera Point) and 19 (Linnaeus Terrace),Did not enter into effect. Withdrawn:M 10 (2008),Area protection and management,Area protection and management,"Measure 1 (1996) - ATCM XX, Utrecht","REVISED DESCRIPTION AND MANAGEMENT PLAN FOR SITES OF SPECIAL SCIENTIFIC INTEREST (SSSI)The Representatives,Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty,For the Sites of Special Scientific Interest mentioned below.(i) the Management Plan inserted in the Annex to Recommendation XIII-8 on the Facilitation of scientific research: Sites of Special Scientific Interest be deleted;(ii) the relevant Management Plan of the Sites of Special Scientific Interest, annexed to this Measure, be inserted in the Annex to Recommendation XIII-8 on the Facilitation of scientific research: Sites of Special Scientific Interest;The Sites of Special Scientific Interest concerned are:SSSI No 9 Rothera Point, Adelaide IslandSSSI No 19 Linnaeus Terrace, Asgard Range, Victoria Land;iii) that the Consultative Parties ensure that their nationals comply with mandatory provisions of the new Management Plans.",Measure 1,1996,ATCM XX,,Utrecht,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Korea (ROK), Ukraine"
220,Amendment to Historic Monument No. 14 (Inexpressible Island),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 5 (1995) - ATCM XIX, Seoul","HISTORIC SITES AND MONUMENTS:AMENDMENTThe Representatives of the Consultative Parties,Recalling Recommendations I-IX, VI-14, VII-9, XII-7, XIII-16 and XIV-8;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:That the description of Historic Site Number 14, which is contained in the ""List of Historic Monuments Identified and Described by the proposing Government or Governments"" annexed to Recommendation VII-9, be amended to read:Site Number 14: Inexpressible Island, Terra Nova Bay, Scott Coast""Site of ice cave at Inexpressible Bay, Terra Nova Bay, constructed in March 1912 by Victor Campbell's Northern Party, British Antarctic Expedition, 1910-13 (Lat 70°54'S, Long 163°43'E).  The Party spent the winter of 1912 in this ice cave.",Measure 5,1995,ATCM XIX,,Seoul,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Ecuador, Japan, Ukraine"
219,11 monuments added to the List of Historic Monuments,Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Measure 4 (1995) - ATCM XIX, Seoul","ANTARCTIC PROTECTED AREA SYSTEM:NEW HISTORIC SITES AND MONUMENTSThe Representatives of the Consultative Parties,Recalling the Measures adopted in Recommendations l-IX, V-4, VI-14, VII-9, XII-7, XIII-16, and XIV-8;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty; that the following historic monuments be added to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9.-    Port Lockroy, Base A, on Goudier Island, off Wiencke Island, Antarctic Peninsula (Lat 64°49' S, Long 63°31' W).  Of historic importance as an Operation Tabarin base and for scientific research.-    Argentine Islands, Base F (Wordie House), South-west corner of Winter Island, one of the group known as the Argentine Islands (Lat 65°15' S, Long 64°16' W).  Of historic interest as an example of an early British scientific base.-    Horseshoe Island, Base Y, Marguerite Bay, West Graham Land (Lat 67°49' S, Long 67°18' W).  Noteworthy as a relatively unaltered and completely equipped base of a later period.  Blaiklock, the refuge hut nearby, is taken to be an integral part of the base.-    Stonington Island, Base E, Northern end of Stonington Island, Marguerite Bay, West Graham Land (Long 68°11' S, 67°00' W).  Of historical importance in the early period of exploration and later British Antarctic Survey (BAS) history of the 1960s and 70s.-    Message Post, Svend Foyn Island.  A pole with a box attached was placed on 16 January 1895 during the whaling expedition of Henryk Bull and Captain Leonard Kristensen of the ship ""Antarctica.""  It was examined and found intact by the British Antarctic Expedition of 1898-1900 and then sighted from the beach by the USS Edisto in 1956 and USCGS Glacier in 1965 (latitude approximately 71°52'S, longitude 171°10'E).-    Prestrud's Cairn, at the foot of main bluff Scott Nunataks, Queen Alexandra Mountains.  A small rock cairn at the foot of the main bluff on the north side of the Aunataks by Lieutenant K. Prestrud on 3 December 1911 during the Norwegian Antarctic Expedition of 1910- 1912 (latitude 77°12' S, longitude 154°30' W).-    Rock Shelter ""Granite House"", Cape Geology, Granite Harbour.  This shelter was constructed in December 1911 for use as a field kitchen by Taylor's second geological excursion during the British Antarctic Expedition of 1910-1913.  It was enclosed on three sides with granite boulder walls and used as a sledge to form a roof tree which supported seal skins anchored by heavy rocks (latitude 77°00'S, longitude 162°32'E).  A 1981 inspection of the ""house"" found it in good condition although the sledge had begun to disintegrate.  The most recent visit to the site in 1990 reported that this deterioration was accelerating.-    Depot, Hells Gate Moraine, Inexpressible Island, Terra Nova Bay.  An emergency depot, consisting of a sledge loaded with supplies and equipment, was place on 25 January 1913 by the British Antarctic Expedition at the close of the 1910-1913 expedition.  The depot was established by the crew of the Terra Nova to provide security in the event the ship was unable to return and pick them up (latitude 74°56'S, longitude 163°48'E).  In 1994, the sledge and supplies were removed in order to stabilise their condition as wind and scoria particles had started to cause rapid deterioration.-    Message Post, Cape Crozier.  Erected on 22 January 1902 by Captain Robert F Scott's Discovery Expedition (the National Antarctic Expedition of 1901-1904) and consists of a post to which a metal cylinder was attached containing an account of the Expedition's movements.  It was intended to provide information for the expedition relief ships (latitude 77°27'S, longitude 169°16'E).  The message post, although weathered, still stands, its grain blasted into high relief by countless storms.  The record cylinder no longer exists.-    Message Post, Cape Wadsworth, Coulman Island.  A metal cylinder nailed to a red pole 8 meters above sea level placed by Captain R. F. Scott on 15 January 1902.  He also painted the rocks behind the post red and white to make it more conspicuous (latitude 73°19'S, longitude 169°47'E).-    Whalers Bay Whaling Station, Whalers Bay, Deception Island.  Established in 1906 by Captain Adolfo Andresen.  Of historical importance as an example of an Antarctic whaling station.______________________________Note 1: Paragraph 10 Sentence 3 ""latitude 77°00'S"", original ""latitude 77°00'E"".",Measure 4,1995,ATCM XIX,,Seoul,"Argentina, Australia, Belgium, Brazil, Chile, China, Czechia, Finland, France, Germany, India, Italy, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Ecuador, Ukraine"
217,Revised management plan for SSSI 11 (Tramway Ridge),Did not enter into effect. No longer current:D 1 (2011),Area protection and management,Area protection and management,"Measure 2 (1995) - ATCM XIX, Seoul","REVISED DESCRIPTION AND MANAGEMENT PLAN FOR SITES OF SPECIAL SCIENTIFIC INTERESTThe Representatives of the Consultative Parties,Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty;For the Site of Special Scientific Interest mentioned below:(i) the Management Plan inserted in the Annex to Recommendation XIII-8 Facilitation of scientific research: Sites of Special Scientific Interest, be deleted;(ii) the Management Plan of the Site of Special Scientific Interest, annexed to this Recommendation, be inserted in the Annex to Recommendation XIII-8 Facilitation of scientific research:  Sites of Special Scientific Interest.The Site of Special Scientific Interest concerned is:SSSI No. 11 Tramway Ridge, Mt. Erebus, Ross Island.",Measure 2,1995,ATCM XIX,,Seoul,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine"
216,Modification of and management plans for SPA 13 (Moe Island) and 15 (Powell Island),Did not enter into effect. Withdrawn:M 3 (2012),Area protection and management,Area protection and management,"Measure 1 (1995) - ATCM XIX, Seoul","REVISED DESCRIPTIONS AND MANAGEMENT PLANS FOR SPECIALLY PROTECTED AREASThe Representatives of the Consultative Parties,Recalling Recommendations XV-8 and XV-9 / VIII-3;Noting that revised Area Descriptions and proposed Management Plans have been approved by the Scientific Committee on Antarctic Research (SCAR);Noting also that the format of these revised Area Descriptions and proposed Management Plans accord with Article 5 of Annex V of the Protocol on Environmental Protection to the Antarctic Treaty adopted under Recommendation XVI-10;Recommend to their Governments the following Measure for approval in accordance with paragraph 4 of Article IX of the Antarctic Treaty:For the Specially Protected Areas listed below:(i) the Descriptions inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora shall be deleted;(ii) the Descriptions and Management Plans of Specially Protected Areas, annexed to this measure shall be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora.The Specially Protected Areas concerned are:Area No. 13 Moe Island, South Orkney Islands (Annex A);Area No. 15 Southern Powell Island and adjacent islands, South Orkney Islands (Annex B).",Measure 1,1995,ATCM XIX,,Seoul,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Ukraine"
214,SCAR initiatives in global change research,Did not enter into effect. Withdrawn:D 3 (2017),Scientific cooperation,Scientific cooperation,"Recommendation XVII-4 (ATCM XVII - Venice, 1992)","GLOBAL CHANGE RESEARCH AND INTERNATIONAL COOPERATION IN ANTARCTICAThe Representatives,Recalling Articles II and III of the Antarctic Treaty and Article VI of the Protocol on Environmental Protection to the Antarctic Treaty, and Recommendation XV-14 on the promotion of international scientific cooperation;Reaffirming the Declaration adopted at the XVIth Consultative Meeting on the occasion of the 30th anniversary of the entry into force of the Antarctic Treaty;Noting the recognition in Agenda 21 of the United Nations Conference on the Environment and Development of the importance of Antarctica and the Southern Ocean for the study of global change processes;Acknowledging the role that intensified coordination of national research programmes and increased international cooperation should play, such as SCAR’s publication on ""the role of Antarctica in global change"";Conscious as well that the development of an implementation plan for an Antarctic research contribution to the International Geosphere-Biosphere Programme represents a significant step to be accomplished during the Decade of International Antarctic Scientific Cooperation (1991-2000) proclaimed by the XVIth ATCM;Recommend to their Governments that they:1.  welcome the decision adopted by the Scientific Committee for Antarctic Research at XXII SCAR to establish a new group of specialists on global change and the Antarctic, in order to provide linkages and communications between national programmes, SCAR Working Group and other Groups of Specialists in areas of relevant Antarctic research;2.  encourage SCAR to articulate, in close cooperation with COMNAP, a management structure to implement a coordinated programme for global change research in the Antarctic and to contribute through the development of Regional Research Centres (RRCs) to the IGBP System for Analysis, Research and Training (START) and to other major regional and international programmes on global change research;3.  support initiatives such as the proposal of the SCAR Working Group on Biology and the offer made by Chile to hold a workshop on the coordination of biological research on King George Island (Isla 25 de Mayo); the Cooperative Geoscience of the South Shetland Islands (COGS) whose second workshop was sponsored by the National Institute of Polar Research of Japan; and similar initiatives to coordinate research in glaciology and solar-terrestrial studies;4.  note with appreciation the completion of SCAR’s proposal for coordinated Antarctic research (The role of Antarctica in global change: part 2) to be published late in 1992 and the plan to implement a regional program of global change research in the Antarctic, through:i) continuing identification of high priority research needs in process studies, monitoring, and modelling;ii) identifying other needs in the implementation of the programme, such as logistics, data management, etc;iii) organising workshops and symposia to synthesise and discuss research results;5.  that the above mentioned regional programme of Global Change research in the Antarctic should be given a high scientific priority and supported to the greater extent feasible by Governments;6.  may consider applying to the Global Environment Facility (GEF) and other acceptable funding mechanisms to support the proposed new group of specialists and their work.",,1992,ATCM XVII,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Ecuador, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Japan, Ukraine"
213,Historic Monument 60 (Penguins Bay),Did not enter into effect. No longer current:M 3 (2003),Historic Sites and MonumentsArea protection and management,Historic Sites and MonumentsArea protection and management,"Recommendation XVII-3 (ATCM XVII - Venice, 1992)","ANTARCTIC PROTECTED AREASNEW HISTORIC SITES AND MONUMENTSWOODEN PLAQUE AND ROCK CAIRN AT PENGUINS BAYThe Representatives,Recalling Recommendations I-IX, V-4, VI-14, VII-9, XII-7, XIII-16 and XIV-8;Recommend to their Governments that the following historic monuments be added to the ""List of Historic Monuments Identified and Described by the Proposing Government or Governments"" annexed to Recommendation VII-9, and that thereafter they be accorded the respect and protection required by the Recommendation recalled above:Wooden plaque and rock cairn located at Penguins Bay, southern coast of Seymour Island (Marambio), James Ross Archipelago (64°16'00""S - 56°39'10""W).  This plaque was placed on 10 November 1903 by the crew of a rescue mission of the Argentinian Corvette ""Uruguay"" in the site where they met members of the Swedish expedition led by Dr. Otto Nordenskjöld.  The text of the wooden plaque reads as follows:10.XI.1903  ""Uruguay"" (Argentine Navy) in its journey to give assistance to the Swedish Antarctic expedition.In January 1990, a rock cairn was erected by Argentina in memory of this event in the place where the plaque is located.",,1992,ATCM XVII,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Japan, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Ukraine"
212,"Management plans for SPA 1 (Taylor Rookery), 2 (Rookery Islands), 3 (Ardery and Odbert Islands), and 20 (New College Valley)",Did not enter into effect. Withdrawn:M 1 (2010),Area protection and management,Area protection and management,"Recommendation XVII-2 (ATCM XVII - Venice, 1992)","REVISED DESCRIPTIONS AND PROPOSED MANAGEMENT PLANS FOR SPECIALLY PROTECTED AREASThe Representatives,Recalling Recommendations XV-8 and XV-9;Noting that revised Area Descriptions and proposed Management Plans have been approved by the Scientific Committee on Antarctic Research (SCAR);Noting also that the format of these revised Area Descriptions and proposed Management Plans accord with Article 5 of Annex V of the Protocol on Environmental Protection to the Antarctic Treaty adopted under Recommendation XVI-10;Recommend to their Governments that for the Specially Protected Areas listed below:(i) the Descriptions inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora be deleted;(ii) the Descriptions and Management Plans of Specially Protected Areas, annexed to this Recommendation, be inserted in Annex B, Specially Protected Areas, of the Agreed Measures for the Conservation of Antarctic Fauna and Flora.The Specially Protected Areas involved are:AREA No. 1  Taylor Rookery, Mac Robertson Land;AREA No. 2  Rookery Islands, Holme Bay, Mac Robertson Land;AREA No. 3  Ardery Island and Odbert Island, Budd Coast;AREA No. 20  ""New College Valley"", Caughley Beach, Cape Bird, Ross Island.",,1992,ATCM XVII,,,"Argentina, Australia, Belgium, Brazil, Chile, China, Finland, France, Germany, India, Italy, Korea (ROK), Netherlands, New Zealand, Norway, Peru, Poland, Russian Federation, South Africa, Spain, Sweden, United Kingdom, United States, Uruguay","Bulgaria, Czechia, Ecuador, Japan, Ukraine"
