Edge1,Edge2,Weight
italy,norway,2
italy,poland,1
italy,portugal,1
italy,south africa,1
italy,spain,2
italy,sweden,1
italy,united kingdom,2
italy,united states,4
italy,uruguay,1
japan,korea (rok),1
japan,netherlands,1
japan,new zealand,4
japan,norway,4
japan,poland,1
japan,russian federation,1
japan,scar,3
japan,south africa,1
japan,spain,2
japan,sweden,1
japan,united kingdom,2
japan,united states,4
japan,uruguay,1
korea (rok),netherlands,2
korea (rok),new zealand,2
korea (rok),norway,2
korea (rok),poland,1
korea (rok),south africa,1
korea (rok),spain,1
korea (rok),sweden,1
korea (rok),united kingdom,4
korea (rok),united states,3
korea (rok),uruguay,3
monaco,scar,1
netherlands,new zealand,10
netherlands,norway,5
netherlands,poland,1
netherlands,russian federation,1
netherlands,scar,1
netherlands,south africa,4
netherlands,spain,4
netherlands,sweden,5
netherlands,united kingdom,11
netherlands,united states,6
netherlands,uruguay,1
new zealand,norway,21
new zealand,poland,1
new zealand,russian federation,1
new zealand,scar,10
new zealand,south africa,3
new zealand,spain,6
new zealand,sweden,3
new zealand,united kingdom,17
new zealand,united states,21
new zealand,uruguay,2
norway,poland,1
norway,russian federation,1
norway,scar,7
norway,south africa,2
norway,spain,11
norway,sweden,5
norway,united kingdom,39
norway,united states,23
norway,uruguay,1
peru,poland,1
poland,south africa,1
poland,spain,1
poland,sweden,1
poland,united kingdom,1
poland,united states,2
poland,uruguay,1
portugal,spain,3
portugal,united kingdom,6
russian federation,scar,1
russian federation,south africa,1
russian federation,spain,1
russian federation,sweden,1
russian federation,united kingdom,2
russian federation,united states,1
scar,south africa,1
scar,spain,2
scar,united kingdom,2
scar,united states,5
scar,wmo,1
south africa,spain,2
south africa,sweden,3
south africa,united kingdom,5
south africa,united states,2
south africa,uruguay,1
spain,sweden,2
spain,united kingdom,20
spain,united states,10
spain,uruguay,1
sweden,united kingdom,6
sweden,united states,2
sweden,uruguay,1
ukraine,united kingdom,3
ukraine,united states,2
united kingdom,united states,30
united kingdom,uruguay,3
united states,uruguay,1
