Edge1,Edge2,Weight
belgium,ukraine,1
belgium,united kingdom,16
belgium,united states,8
belgium,uruguay,3
belgium,venezuela,2
belgium,wmo,2
brazil,bulgaria,7
brazil,chile,7
brazil,comnap,3
brazil,czechia,2
brazil,ecuador,1
brazil,estonia,2
brazil,finland,2
brazil,france,2
brazil,iaato,3
brazil,india,3
brazil,italy,3
brazil,japan,1
brazil,korea (rok),3
brazil,malaysia,2
brazil,peru,1
brazil,poland,4
brazil,portugal,7
brazil,romania,3
brazil,scar,3
brazil,south africa,1
brazil,spain,7
brazil,türkiye,2
brazil,united kingdom,7
brazil,united states,3
brazil,uruguay,2
brazil,venezuela,2
brazil,wmo,2
bulgaria,chile,8
bulgaria,comnap,3
bulgaria,czechia,3
bulgaria,estonia,2
bulgaria,finland,3
bulgaria,france,3
bulgaria,germany,1
bulgaria,iaato,3
bulgaria,india,4
bulgaria,italy,4
bulgaria,japan,2
bulgaria,korea (rok),4
bulgaria,malaysia,2
bulgaria,netherlands,1
bulgaria,new zealand,1
bulgaria,norway,1
bulgaria,peru,1
bulgaria,poland,4
bulgaria,portugal,7
bulgaria,romania,3
bulgaria,scar,3
bulgaria,south africa,1
bulgaria,spain,8
bulgaria,sweden,1
bulgaria,türkiye,2
bulgaria,ukraine,1
bulgaria,united kingdom,8
bulgaria,united states,3
bulgaria,uruguay,3
bulgaria,venezuela,2
bulgaria,wmo,2
ccamlr,comnap,2
ccamlr,iaato,2
ccamlr,scar,2
chile,comnap,3
chile,czechia,3
chile,estonia,2
chile,finland,3
chile,france,6
chile,germany,4
chile,iaato,4
chile,india,4
chile,italy,4
chile,japan,2
chile,korea (rok),5
chile,malaysia,2
chile,monaco,2
chile,netherlands,1
chile,new zealand,4
chile,norway,2
chile,peru,1
chile,poland,4
chile,portugal,7
chile,romania,3
chile,scar,4
chile,south africa,4
chile,spain,13
chile,sweden,1
chile,türkiye,2
chile,ukraine,1
chile,united kingdom,16
chile,united states,4
chile,uruguay,5
chile,venezuela,2
chile,wmo,2
china,finland,1
china,germany,1
china,india,2
china,japan,1
china,new zealand,1
china,norway,2
china,russian federation,1
china,scar,1
china,sweden,1
china,united kingdom,1
china,united states,2
comnap,czechia,2
comnap,estonia,2
comnap,finland,2
comnap,france,2
comnap,iaato,5
comnap,india,3
comnap,italy,3
comnap,korea (rok),3
comnap,malaysia,2
comnap,poland,3
comnap,portugal,3
comnap,romania,3
comnap,scar,5
comnap,south africa,1
comnap,spain,3
comnap,türkiye,2
comnap,united kingdom,3
comnap,united states,2
comnap,uruguay,2
comnap,venezuela,2
comnap,wmo,2
czechia,estonia,1
czechia,finland,2
czechia,france,2
czechia,germany,1
czechia,iaato,2
czechia,india,3
czechia,italy,3
czechia,japan,1
czechia,korea (rok),3
czechia,malaysia,2
czechia,netherlands,1
czechia,new zealand,1
czechia,norway,1
czechia,peru,1
czechia,poland,3
czechia,portugal,2
czechia,romania,2
czechia,scar,2
czechia,south africa,1
czechia,spain,3
czechia,sweden,1
czechia,türkiye,1
czechia,ukraine,1
czechia,united kingdom,3
czechia,united states,2
czechia,uruguay,2
czechia,venezuela,1
czechia,wmo,1
ecuador,peru,1
ecuador,poland,1
ecuador,spain,1
ecuador,united states,2
ecuador,uruguay,1
estonia,finland,1
estonia,france,2
estonia,iaato,2
estonia,india,2
estonia,italy,2
estonia,korea (rok),2
estonia,malaysia,1
estonia,poland,2
estonia,portugal,2
estonia,romania,2
estonia,scar,2
estonia,spain,2
estonia,türkiye,2
estonia,united kingdom,2
estonia,united states,1
estonia,uruguay,2
estonia,venezuela,2
estonia,wmo,2
finland,france,9
finland,germany,10
finland,iaato,2
finland,india,7
finland,italy,3
finland,japan,3
finland,korea (rok),3
finland,malaysia,1
finland,netherlands,8
finland,new zealand,5
finland,norway,9
finland,peru,1
finland,poland,4
finland,portugal,2
finland,romania,2
finland,scar,4
finland,south africa,1
finland,spain,7
finland,sweden,6
finland,türkiye,2
finland,ukraine,1
finland,united kingdom,10
finland,united states,6
finland,uruguay,3
finland,venezuela,1
finland,wmo,1
france,germany,14
france,iaato,2
france,india,6
france,italy,3
france,japan,1
france,korea (rok),4
france,malaysia,1
france,monaco,4
france,netherlands,9
france,new zealand,7
france,norway,8
france,peru,1
france,poland,4
france,portugal,2
france,romania,2
france,scar,3
france,south africa,3
france,spain,7
france,sweden,4
france,türkiye,3
france,ukraine,1
france,united kingdom,17
france,united states,9
france,uruguay,5
france,venezuela,2
france,wmo,2
germany,india,6
germany,italy,2
germany,japan,4
germany,korea (rok),1
germany,monaco,4
germany,netherlands,8
germany,new zealand,7
germany,norway,12
germany,peru,1
germany,poland,2
germany,scar,2
germany,south africa,3
germany,spain,6
germany,sweden,7
germany,türkiye,1
germany,ukraine,1
germany,united kingdom,17
germany,united states,13
germany,uruguay,3
iaato,india,3
iaato,italy,3
iaato,korea (rok),3
iaato,malaysia,2
iaato,poland,3
iaato,portugal,3
iaato,romania,3
iaato,scar,5
iaato,south africa,1
iaato,spain,4
iaato,türkiye,2
iaato,united kingdom,5
iaato,united states,3
iaato,uruguay,2
iaato,venezuela,2
iaato,wmo,2
india,italy,4
india,japan,2
india,korea (rok),4
india,malaysia,2
india,netherlands,4
india,new zealand,2
india,norway,5
india,peru,1
india,poland,5
india,portugal,3
india,romania,3
india,russian federation,1
india,scar,4
india,south africa,1
india,spain,5
india,sweden,2
india,türkiye,3
india,ukraine,1
india,united kingdom,8
india,united states,4
india,uruguay,3
india,venezuela,2
india,wmo,2
italy,japan,1
italy,korea (rok),5
italy,malaysia,2
italy,netherlands,3
italy,new zealand,2
italy,norway,1
italy,peru,1
italy,poland,4
italy,portugal,3
italy,romania,3
italy,scar,4
italy,south africa,1
italy,spain,4
italy,sweden,2
italy,türkiye,2
italy,ukraine,1
italy,united kingdom,7
italy,united states,7
italy,uruguay,3
italy,venezuela,2
italy,wmo,2
japan,korea (rok),1
japan,netherlands,2
japan,new zealand,1
japan,norway,3
japan,peru,1
japan,poland,1
japan,portugal,1
japan,scar,1
japan,spain,2
japan,sweden,3
japan,ukraine,1
japan,united kingdom,3
japan,united states,2
japan,uruguay,1
korea (rok),malaysia,2
korea (rok),netherlands,2
korea (rok),new zealand,3
korea (rok),norway,1
korea (rok),peru,1
korea (rok),poland,4
korea (rok),portugal,3
korea (rok),romania,3
korea (rok),scar,4
korea (rok),south africa,1
korea (rok),spain,4
korea (rok),sweden,1
korea (rok),türkiye,2
korea (rok),ukraine,1
korea (rok),united kingdom,5
korea (rok),united states,4
korea (rok),uruguay,4
korea (rok),venezuela,2
korea (rok),wmo,2
malaysia,poland,2
malaysia,portugal,2
malaysia,romania,2
malaysia,scar,2
malaysia,south africa,1
malaysia,spain,2
malaysia,türkiye,1
malaysia,united kingdom,2
malaysia,united states,1
malaysia,uruguay,1
malaysia,venezuela,1
malaysia,wmo,1
monaco,new zealand,1
monaco,norway,2
monaco,south africa,2
monaco,united kingdom,4
monaco,united states,1
netherlands,new zealand,6
netherlands,norway,8
netherlands,peru,1
netherlands,poland,2
netherlands,scar,1
netherlands,spain,6
netherlands,sweden,6
netherlands,türkiye,1
netherlands,ukraine,1
netherlands,united kingdom,12
netherlands,united states,4
netherlands,uruguay,4
new zealand,norway,21
new zealand,peru,1
new zealand,poland,2
new zealand,scar,2
new zealand,south africa,1
new zealand,spain,7
new zealand,sweden,4
new zealand,türkiye,1
new zealand,ukraine,1
new zealand,united kingdom,22
new zealand,united states,13
new zealand,uruguay,3
norway,peru,1
norway,poland,2
norway,scar,3
norway,spain,7
norway,sweden,7
norway,türkiye,1
norway,ukraine,1
norway,united kingdom,25
norway,united states,10
norway,uruguay,2
peru,poland,2
peru,spain,1
peru,sweden,1
peru,ukraine,1
peru,united kingdom,1
peru,united states,2
peru,uruguay,1
poland,portugal,3
poland,romania,3
poland,scar,3
poland,south africa,1
poland,spain,5
poland,sweden,1
poland,türkiye,3
poland,ukraine,1
poland,united kingdom,5
poland,united states,5
poland,uruguay,3
poland,venezuela,2
poland,wmo,2
portugal,romania,3
portugal,scar,3
portugal,south africa,1
portugal,spain,7
portugal,türkiye,2
portugal,united kingdom,7
portugal,united states,2
portugal,uruguay,2
portugal,venezuela,2
portugal,wmo,2
romania,scar,3
romania,south africa,1
romania,spain,3
romania,türkiye,2
romania,united kingdom,3
romania,united states,2
romania,uruguay,2
romania,venezuela,2
romania,wmo,2
scar,south africa,1
scar,spain,3
scar,sweden,2
scar,türkiye,2
scar,united kingdom,6
scar,united states,5
scar,uruguay,2
scar,venezuela,2
scar,wmo,3
south africa,spain,1
south africa,united kingdom,6
south africa,united states,3
spain,sweden,3
spain,türkiye,3
spain,ukraine,1
spain,united kingdom,18
spain,united states,6
spain,uruguay,5
spain,venezuela,2
spain,wmo,2
sweden,ukraine,1
sweden,united kingdom,5
sweden,united states,6
sweden,uruguay,2
türkiye,united kingdom,5
türkiye,united states,1
türkiye,uruguay,2
türkiye,venezuela,2
türkiye,wmo,2
ukraine,united kingdom,2
ukraine,united states,1
ukraine,uruguay,1
united kingdom,united states,14
united kingdom,uruguay,5
united kingdom,venezuela,2
united kingdom,wmo,2
united states,uruguay,2
united states,venezuela,1
united states,wmo,1
uruguay,venezuela,2
uruguay,wmo,2
venezuela,wmo,2
